Equipo,Enlace
,
Red Machine,https://github.com/RoboticaLLR/redmachine2024
Sonicar,https://github.com/Josechg07/Proyecto-Carro-
Team RoboCRV,https://github.com/ROBOTEAMCRV/roboteamCRV
Adagroup,https://github.com/JD277/Adagroup-WRO2024.git
Kinisi,https://github.com/Kinisi2024/kinisi-
ELEKTRO,https://github.com/IAst22/Diario-de-ingenieria-Elektro
Team Violet I,https://github.com/reiruso07/WRO2024_Future_Engineers--Team-Violet
CJL,https://github.com/megasinser/CJL
Team Stormbreaker,https://github.com/TeamStormbreaker0906/proyectoWROGit
Team Spark,https://github.com/KarenWon9/WRO-FI-Team-Spark.git
Electro Tech,https://github.com/apguilar/ElectroTech-WRO-2024.git
SCP079,https://github.com/Botkill27/scp-079/blob/master/main.py
MK,https://github.com/elkinnm/Mk
AFTON TEAM,https://github.com/danielvvhfk/WRO2024-AFTON-SMARTWHEELS.git
BlackJack,https://github.com/wallabiesvzla/Blackjackwrovzla.git
TNT,https://github.com/TNT-JEFFERSON/TERRENEITOR
